H_eV,T_noC,T_withC
-4.477024e-01,0.000000e+00,0.000000e+00
-4.452024e-01,0.000000e+00,0.000000e+00
-4.427024e-01,0.000000e+00,0.000000e+00
-4.402024e-01,0.000000e+00,0.000000e+00
-4.377024e-01,0.000000e+00,0.000000e+00
-4.352024e-01,0.000000e+00,0.000000e+00
-4.327024e-01,0.000000e+00,0.000000e+00
-4.302024e-01,0.000000e+00,0.000000e+00
-4.277024e-01,0.000000e+00,0.000000e+00
-4.252024e-01,0.000000e+00,0.000000e+00
-4.227024e-01,0.000000e+00,0.000000e+00
-4.202024e-01,0.000000e+00,0.000000e+00
-4.177024e-01,0.000000e+00,0.000000e+00
-4.152024e-01,0.000000e+00,0.000000e+00
-4.127024e-01,0.000000e+00,0.000000e+00
-4.102024e-01,0.000000e+00,0.000000e+00
-4.077024e-01,0.000000e+00,0.000000e+00
-4.052024e-01,0.000000e+00,0.000000e+00
-4.027024e-01,0.000000e+00,0.000000e+00
-4.002024e-01,0.000000e+00,0.000000e+00
-3.977024e-01,0.000000e+00,0.000000e+00
-3.952024e-01,0.000000e+00,0.000000e+00
-3.927024e-01,0.000000e+00,0.000000e+00
-3.902024e-01,0.000000e+00,0.000000e+00
-3.877024e-01,0.000000e+00,0.000000e+00
-3.852024e-01,0.000000e+00,0.000000e+00
-3.827024e-01,0.000000e+00,0.000000e+00
-3.802024e-01,0.000000e+00,0.000000e+00
-3.777024e-01,0.000000e+00,0.000000e+00
-3.752024e-01,0.000000e+00,0.000000e+00
-3.727024e-01,0.000000e+00,0.000000e+00
-3.702024e-01,0.000000e+00,0.000000e+00
-3.677024e-01,0.000000e+00,0.000000e+00
-3.652024e-01,0.000000e+00,0.000000e+00
-3.627024e-01,0.000000e+00,0.000000e+00
-3.602024e-01,0.000000e+00,0.000000e+00
-3.577024e-01,0.000000e+00,0.000000e+00
-3.552024e-01,0.000000e+00,0.000000e+00
-3.527024e-01,0.000000e+00,0.000000e+00
-3.502024e-01,0.000000e+00,0.000000e+00
-3.477024e-01,0.000000e+00,0.000000e+00
-3.452024e-01,0.000000e+00,0.000000e+00
-3.427024e-01,0.000000e+00,0.000000e+00
-3.402024e-01,0.000000e+00,0.000000e+00
-3.377024e-01,0.000000e+00,0.000000e+00
-3.352024e-01,0.000000e+00,0.000000e+00
-3.327024e-01,0.000000e+00,0.000000e+00
-3.302024e-01,0.000000e+00,0.000000e+00
-3.277024e-01,0.000000e+00,0.000000e+00
-3.252024e-01,0.000000e+00,0.000000e+00
-3.227024e-01,0.000000e+00,0.000000e+00
-3.202024e-01,0.000000e+00,0.000000e+00
-3.177024e-01,0.000000e+00,0.000000e+00
-3.152024e-01,0.000000e+00,0.000000e+00
-3.127024e-01,0.000000e+00,0.000000e+00
-3.102024e-01,0.000000e+00,0.000000e+00
-3.077024e-01,0.000000e+00,0.000000e+00
-3.052024e-01,0.000000e+00,0.000000e+00
-3.027024e-01,0.000000e+00,0.000000e+00
-3.002024e-01,0.000000e+00,0.000000e+00
-2.977024e-01,0.000000e+00,0.000000e+00
